Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2013-7-28,1,1,105,NYY,TBR,55-50,4,7.5,D,47714,+
2013-8-9,0,1,114,NYY,DET,58-56,4,10.0,N,46545,+
2013-8-10,1,1,115,NYY,DET,58-57,4,11.0,D,45728,-
2013-8-11,1,1,116,NYY,DET,59-57,4,10.0,D,42439,+
2013-8-12,0,1,117,NYY,LAA,60-57,4,9.5,N,37146,++
2013-8-13,0,1,118,NYY,LAA,61-57,4,9.5,N,35013,+++
2013-8-14,0,1,119,NYY,LAA,62-57,4,8.5,N,38379,++++
2013-8-15,0,1,120,NYY,LAA,62-58,4,8.5,D,44682,-
2013-8-20,0,1,124,NYY,TOR,65-59,4,6.5,D,40248,++
2013-8-20,0,1,125,NYY,TOR,66-59,4,6.5,N,37190,+++
2013-8-21,0,1,126,NYY,TOR,67-59,4,6.5,N,36140,++++
2013-8-22,0,1,127,NYY,TOR,68-59,4,6.0,D,40116,+++++
2013-8-30,0,1,134,NYY,BAL,71-63,4,8.0,N,45169,+
2013-8-31,1,1,135,NYY,BAL,72-63,3,8.0,D,42836,++
2013-9-1,1,1,136,NYY,BAL,72-64,4,9.0,D,40361,-
2013-9-2,0,1,137,NYY,CHW,73-64,4,8.0,D,40125,+
2013-9-3,0,1,138,NYY,CHW,74-64,3,8.0,N,33215,++
2013-9-4,0,1,139,NYY,CHW,75-64,3,8.0,N,36082,+++
2013-9-5,0,0,140,NYY,BOS,75-65,3,9.0,N,40481,-
2013-9-6,0,0,141,NYY,BOS,75-66,4,10.0,N,44117,--
2013-9-7,1,0,142,NYY,BOS,75-67,4,11.0,D,49046,---
2013-9-8,1,0,143,NYY,BOS,76-67,4,10.0,D,43078,+
2013-9-20,0,0,154,NYY,SFG,81-73,4,12.5,N,41734,+
2013-9-21,1,1,155,NYY,SFG,82-73,3,11.5,D,42420,++
2013-9-22,1,1,156,NYY,SFG,82-74,3,12.5,D,49197,-
2013-9-24,0,1,157,NYY,TBR,82-75,3,12.5,N,43407,--
2013-9-25,0,1,158,NYY,TBR,82-76,3,13.5,N,37260,---
2013-9-26,0,0,159,NYY,TBR,82-77,4,14.0,N,48675,----
Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2014-4-7,0,0,7,NYY,BAL,4-3,1,up 0.5,D,48142,++
2014-4-8,0,0,8,NYY,BAL,4-4,2,0.5,D,35864,-
2014-4-9,0,0,9,NYY,BAL,4-5,3,1.0,N,39412,--
2014-4-10,0,0,10,NYY,BOS,5-5,1,Tied,N,42821,+
2014-4-11,0,1,11,NYY,BOS,5-6,3,1.0,N,44121,-
2014-4-12,1,1,12,NYY,BOS,6-6,2,1.0,D,48572,+
2014-4-13,1,1,13,NYY,BOS,7-6,1,Tied,N,46081,++
2014-4-16,0,1,14,NYY,CHC,8-6,1,up 0.5,D,36569,+++
2014-4-16,0,1,15,NYY,CHC,9-6,1,up 0.5,N,40073,++++
2014-4-25,0,1,23,NYY,LAA,13-10,1,up 1.5,N,38358,-
2014-4-26,1,0,24,NYY,LAA,14-10,1,up 1.5,D,40908,+
2014-4-27,1,0,25,NYY,LAA,15-10,1,up 2.5,N,40028,++
2014-4-29,0,0,26,NYY,SEA,15-11,1,up 2.0,N,37484,-
2014-5-1,0,0,27,NYY,SEA,15-12,1,up 0.5,N,43121,--
2014-5-2,0,1,28,NYY,TBR,15-13,2,0.5,N,33580,---
2014-5-3,1,1,29,NYY,TBR,16-13,1,up 0.5,D,43325,+
2014-5-4,1,0,30,NYY,TBR,16-14,1,up 0.5,D,41122,-
2014-5-12,0,0,37,NYY,NYM,19-18,2,1.5,N,46517,---
2014-5-13,0,0,38,NYY,NYM,19-19,2,1.5,N,45958,----
2014-5-17,1,1,41,NYY,PIT,22-19,1,Tied,D,47353,+++
2014-5-18,1,1,42,NYY,PIT,23-19,1,up 0.5,D,,++++
2014-5-18,1,1,43,NYY,PIT,23-20,1,up 0.5,D,46858,-
2014-5-30,0,1,53,NYY,MIN,28-25,2,2.5,N,42245,-
2014-5-31,1,1,54,NYY,MIN,29-25,2,2.5,D,44346,+
2014-6-1,1,1,55,NYY,MIN,29-26,2,3.5,D,42449,-
2014-6-2,0,0,56,NYY,SEA,29-27,2,4.0,N,41539,--
2014-6-3,0,1,57,NYY,OAK,29-28,3,5.0,N,41677,---
2014-6-4,0,0,58,NYY,OAK,29-29,3,6.0,N,37734,----
2014-6-5,0,1,59,NYY,OAK,30-29,3,6.0,D,44346,+
2014-6-17,0,0,69,NYY,TOR,36-33,2,3.5,N,41834,+
2014-6-18,0,1,70,NYY,TOR,37-33,2,2.5,N,41342,++
2014-6-19,0,1,71,NYY,TOR,38-33,2,1.5,N,40169,+++
2014-6-20,0,0,72,NYY,BAL,39-33,2,1.5,N,46197,++++
2014-6-21,1,1,73,NYY,BAL,39-34,2,1.5,D,47165,-
2014-6-22,1,1,74,NYY,BAL,39-35,2,1.5,D,47493,--
2014-6-27,0,0,78,NYY,BOS,41-37,3,2.0,N,48522,++
2014-6-28,1,0,79,NYY,BOS,41-38,3,2.0,N,48433,-
2014-6-29,1,0,80,NYY,BOS,41-39,3,2.0,N,48124,--
2014-6-30,0,0,81,NYY,TBR,41-40,3,2.5,N,36052,---
2014-7-1,0,1,82,NYY,TBR,41-41,3,3.5,N,35866,----
2014-7-2,0,1,83,NYY,TBR,41-42,3,4.5,D,42343,-----
2014-7-18,0,1,95,NYY,CIN,48-47,2,4.0,N,47372,+
2014-7-19,1,1,96,NYY,CIN,49-47,2,4.0,D,47606,++
2014-7-20,1,1,97,NYY,CIN,50-47,2,3.0,D,43115,+++
2014-7-21,0,1,98,NYY,TEX,50-48,2,4.0,N,45278,-
2014-7-22,0,1,99,NYY,TEX,51-48,2,4.0,N,37669,+
2014-7-23,0,1,100,NYY,TEX,52-48,2,3.0,N,37585,++
2014-7-24,0,0,101,NYY,TEX,53-48,2,3.0,D,45105,+++
2014-7-25,0,0,102,NYY,TOR,54-48,2,3.0,N,44237,++++
2014-7-26,1,1,103,NYY,TOR,54-49,2,3.0,D,46166,-
2014-7-27,1,1,104,NYY,TOR,54-50,3,4.0,D,45063,--
2014-8-4,0,1,111,NYY,DET,58-53,3,5.0,N,41603,+++
2014-8-5,0,1,112,NYY,DET,58-54,3,6.0,N,40078,-
2014-8-6,0,1,113,NYY,DET,59-54,3,5.0,N,40067,+
2014-8-7,0,1,114,NYY,DET,60-54,2,5.0,D,47013,++
2014-8-8,0,1,115,NYY,CLE,61-54,2,5.0,N,43972,+++
2014-8-9,1,1,116,NYY,CLE,61-55,2,6.0,D,47376,-
2014-8-10,1,1,117,NYY,CLE,61-56,3,6.0,D,46152,--
2014-8-19,0,1,123,NYY,HOU,63-60,2,8.5,N,40015,-
2014-8-20,0,1,124,NYY,HOU,63-61,3,9.5,N,42102,--
2014-8-21,0,1,125,NYY,HOU,64-61,2,9.0,D,41767,+
2014-8-22,0,1,126,NYY,CHW,65-61,2,8.0,N,43811,++
2014-8-23,1,1,127,NYY,CHW,66-61,2,7.0,D,47594,+++
2014-8-24,1,1,128,NYY,CHW,67-61,2,6.0,D,43366,++++
2014-9-2,0,0,136,NYY,BOS,70-66,2,9.5,N,40334,---
2014-9-3,0,0,137,NYY,BOS,71-66,2,9.5,N,40007,+
2014-9-4,0,0,138,NYY,BOS,72-66,2,9.5,N,44708,++
2014-9-5,0,0,139,NYY,KCR,72-67,2,9.5,N,36284,-
2014-9-6,1,0,140,NYY,KCR,73-67,2,8.5,D,45262,+
2014-9-7,1,0,141,NYY,KCR,73-68,2,9.5,D,48110,-
2014-9-9,0,1,142,NYY,TBR,73-69,3,11.0,N,31188,--
2014-9-10,0,1,143,NYY,TBR,74-69,3,11.0,N,31591,+
2014-9-11,0,0,144,NYY,TBR,75-69,3,10.5,N,32627,++
2014-9-18,0,1,152,NYY,TOR,78-74,2,14.0,N,34279,++
